post_id,text,timestamp,time,user_id,location,person,organization,doc_ner
640719428178910,"🔥CÁC KÊNH YOUTUBE HỌC CÁC MÔN🔥
Vào từng ảnh để xem danh sách kênh các môn nha
Toán Cao Cấp
Giải tích - Đại số tuyến tính - Toán rời rạc
Kinh tế vi - vĩ mô
Xác xuất thống kê
Triết học
Nguyên lý kế toán",1696860658.0,2023-10-09 21:10:58,100042024003239,[],[],[],
659246332992886,ae malibu thua nnn chưa ạ,1699862786.0,2023-11-13 15:06:26,284734091022087,[],[],[],
659210466329806,"đ*t cụ mấy thằng ptit ở malibu giờ đi ngủ ngậm mồm vào tắt âm đê ko ngủ để ngkhac ngủ, lớn rồi ý thức lên",1699856776.0,2023-11-13 13:26:16,306021115550368,[' ##lib'],[],[],"đ*t cụ mấy thằng ptit ở malibu giờ đi ngủ ngậm mồm vào tắt âm đê ko ngủ để ngkhac ngủ, lớn rồi ý thức lên"
659176019666584,"kiếm mập mờ ở malibu gấp, lạnh lắm rồiiiiiii🥶",1699850469.0,2023-11-13 11:41:09,1482440865923204,['ma ##lib ##u'],[],[],"kiếm mập mờ ở malibu gấp, lạnh lắm rồiiiiiii🥶"
659172869666899,Long bào đã kịp về để Tết này còn flex với họ hàng :))))),1699849916.0,2023-11-13 11:31:56,100037648460053,[],[],[],
657702303147289,"Cho mình xin in4 bạn bờm xanh trung đội 21 được không
Vì..... 👉👈.... Cậu khác biệt với mọi người quá
（｡>‿‿<｡ ）",1699611177.0,2023-11-10 17:12:57,715696813397474,[],[],[],
659173506333502,"Khong có em cũng khong sao🔥
#Malibu ngày đông 🥶",1699850044.0,2023-11-13 11:34:04,1009833816917610,['Malibu'],[],[],"Khong có em cũng khong sao🔥
#malibu ngày đông 🥶"
658224446428408,Mailibu sau dạu này các bạn ít đá cầu thếếế,1699702316.0,2023-11-11 18:31:56,311909898152581,[],[],[],
658694819714704,Xin in4 mấy a thổi sáo trước tòa C9 ạ 😍mê quá r 🥰🥰,1699781987.0,2023-11-12 16:39:47,388326653518653,[],[],[],
658713729712813,Cơm ngày mưa nào🍚,1699785154.0,2023-11-12 17:32:34,100049552389347,[],[],[],
658713023046217,tán gái đại cương 401 c9 trung đội 19,1699785018.0,2023-11-12 17:30:18,1308762919845386,[],[],[],
655862303331289,"Có ai mê mùi nước giặt ở Thiên Thai như em khum ạ 🥰 ultr xin info nc giặt về còn mua
Đáng để thử !!!!! ❤️❤️❤️",1699289539.0,2023-11-06 23:52:19,897989658423274,['Thiên Thai'],[],[],"Có ai mê mùi nước giặt ở thiên_thai như em khum ạ 🥰 ultr xin info nc giặt về còn mua
Đáng để thử !"
658882376362615,Mời mn uống xăng ăn thịt 🐯,1699802018.0,2023-11-12 22:13:38,100059500846245,[],[],[],
657179233199596,"Cho mình xin in4 hai bạn nam bê nước hộ phòng 103 C9 ạ 👉👈
... muốn cảm ơn",1699534155.0,2023-11-09 19:49:15,616815553989458,[],[],[],
657722513145268,"Nay đi chơi mà thấy một hiện tượng lạ, bỗng thấy hoa mắt chóng mặt tim đập nhanh. Hóa ra là mình nhận ra do hình ảnh một bạn nữ đeo kính P 101 tòa c9 làm mình rung động. Ai biết bạn ấy thì cho mình xin infor nha 🫠🫠🫠",1699614593.0,2023-11-10 18:09:53,1018407345878436,[],[],[],
659151593002360,V ơi tớ lạnh quá 🥶,1699846076.0,2023-11-13 10:27:56,3751041085124649,[],['V'],[],v ơi tớ lạnh quá 🥶
659156083001911,Ai cầm nhầm chìa 412 c9 treo lại với,1699847034.0,2023-11-13 10:43:54,263671996657032,[],[],[],
658736803043839,Các bé gia huy hư quá😑,1699788681.0,2023-11-12 18:31:21,100036184509112,[],[],[],
658826356368217,Háp pi bớt đây tu diu tiểu đội trưởng 21,1699796741.0,2023-11-12 20:45:41,265604402710014,[],[],[],
658685393048980,Cho e hỏi trường có phát đồng phục trước Tết không ạ?Em về còn flex vs họ hàng nữa 😩,1699780317.0,2023-11-12 16:11:57,2243524269180161,[],[],[],
658745063043013,Mấy bạn ở c8 ra ngoài hành lang hát đồng ca kh ạ,1699790044.0,2023-11-12 18:54:04,829888218835321,['c ##8'],[],[],Mấy bạn ở c8 ra ngoài hành lang hát đồng ca kh ạ
658708759713310,mn ơi em có lịch thi toeic trong thời gian đi quân sự liệu có được xin về k ạ 🥹,1699784377.0,2023-11-12 17:19:37,6644357908980340,[],[],[],
658731969710989,"Xin in4 3 bạn nữ tầng 1 toà c7 đã cho tk bạn mình đi nhờ ô , nó muốn cảm ơn 🫶",1699787829.0,2023-11-12 18:17:09,3428093817503240,['toà c ##7'],[],[],"Xin in4 3 bạn nữ tầng 1 toà c7 đã cho tk bạn mình đi nhờ ô , nó muốn cảm ơn 🫶"
658530103064509,Mn cho mình hỏi tại sao không học Tiếng Anh mà vẫn phải đóng 30% tiền học nhỉ?,1699754177.0,2023-11-12 08:56:17,667689752130814,[],[],[],Mn cho mình hỏi tại sao không học tiếng_anh mà vẫn phải đóng 30% tiền học nhỉ?
658624893055030,Mọi người ơi em quên mật khẩu slink thì phải lấy lại như nào ạ 🥺🥺,1699769127.0,2023-11-12 13:05:27,619805856985347,[],[],[],
658316749752511,Mai đi săn hết bọn chuột thành tinh Malibu về xào lăn🤡🤡🤡,1699715454.0,2023-11-11 22:10:54,100059500846245,['Malibu'],[],[],Mai đi săn hết bọn chuột thành tinh malibu về xào lăn🤡🤡🤡
658592883058231,Ở malibu có được nhận hàng ship k ạ :((🥺🥺,1699763471.0,2023-11-12 11:31:11,1698830123918396,[],[],[],
658685406382312,Cho e hỏi trường mình có được nghỉ trước khi thi cuối kỳ kh ạ,1699780319.0,2023-11-12 16:11:59,717967036504567,[],[],[],
656199269964259,:)) chắc ngủ trong nhà tắm,1699355492.0,2023-11-07 18:11:32,100042024003239,[],[],[],
658283896422463,Bạn tôi đang thất tình ae nào hát mở cho tôi mấy bài buồn buồn nhé 😘,1699711118.0,2023-11-11 20:58:38,100075310689468,[],[],[],
657199596530893,Malibu ai chịu trách nhiệm cho đứa con này đây?,1699536069.0,2023-11-09 20:21:09,1691750554675792,['Malibu'],[],[],malibu ai chịu trách nhiệm cho đứa con này đây?
657242679859918,"Đề nghị các đồng chí đừng xin in4 bạn tóc đỏ nữa ạ, rất cảm ơn 🫡
Các đồng chí tém tém lại, ngta thấy ngta đánh giá đấy. Mà bạn ý cũng ngại nữa chứ 😒",1699540350.0,2023-11-09 21:32:30,1053122939199139,[],[],[],
658497453067774,Cho em xin in4 anh tiểu đội trưởng tiểu đội 40 với ạ.Em mê anh mất rùi.Nhìn anh mũm mũm cute quá😍😍.,1699748008.0,2023-11-12 07:13:28,1018740839545717,[],[],[],
658100099774176,"=)))) kh lo ốm đau
Phòng có thầy lang (băm)",1699678492.0,2023-11-11 11:54:52,242947121709027,[],[],[],
